,Customer_ID,prediccion,%_proba
3402,891342,1.0,0.6563786298834186
3406,891729,1.0,0.8639751093011803
3415,892783,1.0,0.5024094441873105
3425,894097,1.0,0.508858306322641
3433,895634,1.0,0.5355298562380773
3440,896451,1.0,0.7698761920984218
3447,897229,1.0,0.5092490935549822
3462,898430,1.0,0.5051864962138262
3471,899683,1.0,0.7027923311694935
3475,900126,1.0,0.811861322842163
3484,901163,1.0,0.8062214076745103
3509,904582,1.0,0.8879150754323547
3523,906771,1.0,0.7571558766392662
3532,908259,1.0,0.7345775003230731
3545,911038,1.0,0.8094788182398871
3548,911233,1.0,0.7972550542254193
3553,911654,1.0,0.8036298303147422
3554,911836,1.0,0.6646349912823537
3557,911985,1.0,0.7598031731472857
3564,912714,1.0,0.8385148707925204
3568,913285,1.0,0.8256411381422079
3570,913737,1.0,0.6601787816734604
3576,914517,1.0,0.7548534933725726
3579,914895,1.0,0.8142098720424024
3605,917373,1.0,0.6553318956246063
3609,917783,1.0,0.581374435945561
3631,925623,1.0,0.5201419276700736
3652,935710,1.0,0.6857618529078522
3655,935932,1.0,0.5144222306549184
3656,936080,1.0,0.8285198402533399
3664,937623,1.0,0.8028193146482512
3666,937681,1.0,0.6427858761091135
3673,938657,1.0,0.7044203690814445
3675,939616,1.0,0.5198324014101053
3681,941336,1.0,0.8228896950597785
3682,941352,1.0,0.9167444386563576
3690,945453,1.0,0.68170956301264
3698,949560,1.0,0.7687949126237305
3722,966080,1.0,0.5061845080860099
3725,966906,1.0,0.9166736457168991
3739,973689,1.0,0.5136821357626077
3753,979007,1.0,0.7739002937607594
3754,980052,1.0,0.7062590105996251
3770,985579,1.0,0.5318939220991338
3796,993400,1.0,0.5092944648741136
3797,993490,1.0,0.8903843023632777
3818,998837,1.0,0.7372213302944809
3821,999892,1.0,0.753546460706311
4726,1001965,1.0,0.515470715155937
4939,1002360,1.0,0.5558261457486535
5190,1003149,1.0,0.6814269631813981
7796,1008414,1.0,0.532637012064683
9127,1010926,1.0,0.7748263293989427
9378,1011388,1.0,0.6001299237600081
9944,1012368,1.0,0.6513269475767
10119,1012673,1.0,0.5696860776216662
10381,1013093,1.0,0.6128923317229203
10775,1013650,1.0,0.6298833649629964
11252,1014367,1.0,0.5960733440965202
11258,1014378,1.0,0.6725764676155409
11625,1015026,1.0,0.6498024465327173
11738,1015234,1.0,0.6220559802092224
11757,1015267,1.0,0.8090971545011624
11943,1015623,1.0,0.5018228320828206
12520,1016738,1.0,0.5622977058315207
12548,1016789,1.0,0.7873882532207483
12734,1017134,1.0,0.5582572127674658
12931,1017524,1.0,0.6275276672952167
12967,1017580,1.0,0.6034041523226916
13004,1017641,1.0,0.6291138972334229
13068,1017777,1.0,0.6753291205470271
13132,1017875,1.0,0.77816483359836
13419,1018448,1.0,0.5085307237879637
13459,1018527,1.0,0.7355919655378081
13573,1018783,1.0,0.5470327416009173
13577,1018798,1.0,0.6247560426590069
13635,1018912,1.0,0.5739456877778297
13913,1019435,1.0,0.5575033703295007
13923,1019457,1.0,0.536242686716625
13924,1019458,1.0,0.5952535190149616
13965,1019532,1.0,0.5043492948761389
13972,1019547,1.0,0.6357249575668563
14164,1019906,1.0,0.5999662842195375
14337,1020257,1.0,0.7773332491353492
14348,1020286,1.0,0.6310223694314556
14408,1020404,1.0,0.6119421520571804
14442,1020472,1.0,0.533366355613705
14450,1020485,1.0,0.6143899274231922
14451,1020486,1.0,0.5079592781850875
15242,1021856,1.0,0.7641874425820433
15259,1021890,1.0,0.6935613170417486
15274,1021918,1.0,0.6150828915865234
15315,1022006,1.0,0.6500723310567302
15574,1022404,1.0,0.5505706929439386
15610,1022455,1.0,0.5478728598150484
15708,1022623,1.0,0.6675990623775498
15814,1022820,1.0,0.8105171359971368
16002,1023121,1.0,0.7417731473416951
16012,1023137,1.0,0.5110343652519119
16050,1023205,1.0,0.586900345621445
16165,1023344,1.0,0.5017316385295143
16414,1023710,1.0,0.5009438461981157
16500,1023825,1.0,0.7497975258241273
16650,1024021,1.0,0.5134575035425795
17504,1025022,1.0,0.6733640316711466
18658,1026306,1.0,0.50559234433643
18796,1026503,1.0,0.6126130977647269
19656,1027502,1.0,0.6427120181736851
22952,1031410,1.0,0.8536405936450128
24051,1032751,1.0,0.6037342792373276
26393,1035881,1.0,0.5943842044007649
26398,1035886,1.0,0.5438483389705194
27698,1037501,1.0,0.8902254457536317
28979,1039129,1.0,0.5385280654511545
30483,1040997,1.0,0.5344351797969236
31987,1042758,1.0,0.6638940464840953
34688,1045978,1.0,0.6905291903777723
35856,1047410,1.0,0.5004682530150036
38896,1051269,1.0,0.5767015781396989
